company_id,company_name,accounting_period,subledger,gl_account_no,opening_balance,period_movements,closing_balance,gl_balance,subledger_balance,difference,source_count,earliest_source,latest_source,finding_classification
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-01,Broker/Staff Commission Payable,2020,0.000,114.000,110.580,110.580,110.580,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-01,Due from Owner,2005,0.000,116.000,112.520,112.520,112.520,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-01,Expense Payable,1000,0.000,117.000,113.490,113.490,113.490,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-01,Master Lease Liability,2100,0.000,125.000,121.250,121.250,121.250,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-01,Owner Funds Payable,2001,0.000,127.000,123.190,123.190,123.190,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-01,Receipt Clearing,1000,0.000,130.000,126.100,126.100,126.100,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-01,ROU Asset,1500,0.000,130.000,126.100,126.100,126.100,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-01,Tax Control,2200,0.000,132.000,128.040,128.040,128.040,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-01,Tenant Deposits,2010,0.000,132.000,128.040,128.040,128.040,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-01,Tenant Receivables,1100,0.000,132.000,128.040,203.290,128.040,75.250,42,2026-01-01,2026-01-31,MISMATCH
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-02,Broker/Staff Commission Payable,2020,0.000,114.000,110.580,110.580,110.580,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-02,Due from Owner,2005,0.000,116.000,112.520,112.520,112.520,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-02,Expense Payable,1000,0.000,117.000,113.490,113.490,113.490,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-02,Master Lease Liability,2100,0.000,125.000,121.250,121.250,121.250,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-02,Owner Funds Payable,2001,0.000,127.000,123.190,123.190,123.190,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-02,Receipt Clearing,1000,0.000,130.000,126.100,126.100,126.100,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-02,ROU Asset,1500,0.000,130.000,126.100,126.100,126.100,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-02,Tax Control,2200,0.000,132.000,128.040,128.040,128.040,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-02,Tenant Deposits,2010,0.000,132.000,128.040,128.040,128.040,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000001,Demo Malek Co A,2026-02,Tenant Receivables,1100,0.000,132.000,128.040,128.040,128.040,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-01,Broker/Staff Commission Payable,2020,0.000,114.000,110.580,110.580,110.580,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-01,Due from Owner,2005,0.000,116.000,112.520,112.520,112.520,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-01,Expense Payable,1000,0.000,117.000,113.490,113.490,113.490,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-01,Master Lease Liability,2100,0.000,125.000,121.250,121.250,121.250,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-01,Owner Funds Payable,2001,0.000,127.000,123.190,123.190,123.190,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-01,Receipt Clearing,1000,0.000,130.000,126.100,126.100,126.100,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-01,ROU Asset,1500,0.000,130.000,126.100,126.100,126.100,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-01,Tax Control,2200,0.000,132.000,128.040,128.040,128.040,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-01,Tenant Deposits,2010,0.000,132.000,128.040,128.040,128.040,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-01,Tenant Receivables,1100,0.000,132.000,128.040,128.040,128.040,0.000,42,2026-01-01,2026-01-31,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-02,Broker/Staff Commission Payable,2020,0.000,114.000,110.580,110.580,110.580,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-02,Due from Owner,2005,0.000,116.000,112.520,112.520,112.520,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-02,Expense Payable,1000,0.000,117.000,113.490,113.490,113.490,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-02,Master Lease Liability,2100,0.000,125.000,121.250,121.250,121.250,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-02,Owner Funds Payable,2001,0.000,127.000,123.190,123.190,123.190,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-02,Receipt Clearing,1000,0.000,130.000,126.100,126.100,126.100,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-02,ROU Asset,1500,0.000,130.000,126.100,126.100,126.100,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-02,Tax Control,2200,0.000,132.000,128.040,128.040,128.040,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-02,Tenant Deposits,2010,0.000,132.000,128.040,128.040,128.040,0.000,42,2026-02-01,2026-02-28,RECONCILED
00000000-0000-4000-a000-000000000002,Demo Malek Co B,2026-02,Tenant Receivables,1100,0.000,132.000,128.040,128.040,128.040,0.000,42,2026-02-01,2026-02-28,RECONCILED
